ID,Age,Gender,Caregiver,Item,Utterances_C,MLU_C,Utterances_M,MLU_M,Token_C,TTR_C,VocD_C,Token_M,TTR_M,VocD_M,Turn,Nodes,Density,Clustering,Length
P14,66,M,MOT,Starfish,44,4.068,73,4.863,176,0.482955,50.85,340,0.35,45,166,33,0.056818181818181800,0.4155122655122660,1.8888888888888900
P15,42,M,MOT,Car,54,2.981,73,4.753,159,0.421384,34.12,336,0.318452,34.99,153,33,0.045454545454545500,0.2696969696969700,2.2888888888888900
P15,42,M,MOT,ComputerBox,39,3.179,67,4.179,140,0.457143,42.02,261,0.348659,46.61,133,39,0.043184885290148400,0.358974358974359,2.3636363636363600
P15,42,M,MOT,Degu,62,3.048,65,5.138,208,0.326923,22.75,316,0.322785,30.1,191,38,0.05832147937411100,0.2067251461988300,2.411255411255410
P15,42,M,MOT,Robodog,22,3.273,40,5.125,73,0.465753,15.42,196,0.367347,26.19,70,141,0.015197568389057800,0.24101568250504400,3.7857142857142900
P15,42,M,MOT,Meerkat,47,2.638,63,4.603,123,0.414634,23.89,268,0.369403,41.53,114,24,0.028985507246376800,0.0,1.3333333333333300
P15,42,M,MOT,Starfish,61,3.475,84,5.107,222,0.382883,35.83,411,0.301703,36.33,204,43,0.044296788482835,0.25193798449612400,2.4175824175824200
P16,42,M,MOT,Car,30,5.3,50,4.56,174,0.41954,42.75,222,0.454955,50.39,163,33,0.07196969696969700,0.5545454545454550,2.9
P16,42,M,MOT,ComputerBox,33,3.455,48,4.438,123,0.455285,29.4,199,0.361809,24.14,116,29,0.059113300492610800,0.40000000000000000,1.619047619047620
P16,42,M,MOT,Degu,52,4.173,29,4.69,216,0.324074,24.03,140,0.392857,24.76,199,35,0.06218487394957980,0.42483516483516500,1.8857142857142900
P16,42,M,MOT,Robodog,39,4.769,40,4.5,173,0.265896,12.42,171,0.362573,23.71,160,130,0.01967799642218250,0.39202018404447600,3.75859649122807
P16,42,M,MOT,Meerkat,36,3.278,60,4.033,120,0.458333,30.19,227,0.317181,20.64,110,31,0.04946236559139790,0.3440860215053760,1.0
P16,42,M,MOT,Starfish,55,3.218,66,5.136,200,0.385,35.36,337,0.267062,24.38,188,32,0.08266129032258060,0.4532738095238100,2.7435897435897400
P17,66,M,MOT,Car,35,4.314,43,6.488,149,0.483221,45.48,268,0.376866,54.01,142,34,0.053475935828877000,0.4872549019607840,1.4
P17,66,M,MOT,ComputerBox,23,4.087,38,6.868,91,0.494505,25.49,280,0.342857,39.5,87,19,0.05847953216374270,0.22807017543859600,1.4
P17,66,M,MOT,Degu,29,5.172,53,5.774,151,0.403974,26.85,307,0.407166,55.5,143,32,0.07056451612903230,0.4510416666666670,2.9415204678362600
P17,66,M,MOT,Robodog,14,4.143,46,5.522,60,0.583333,26.37,237,0.421941,46.64,59,124,0.016522423288749000,0.37343830005120300,3.104609929078010
P17,66,M,MOT,Meerkat,28,3.75,73,5.274,110,0.590909,52.67,391,0.352941,45.68,102,33,0.03977272727272730,0.3090909090909090,1.4761904761904800
P17,66,M,MOT,Starfish,37,4.216,62,5.661,149,0.422819,23.79,344,0.357558,54.78,136,27,0.05982905982905980,0.29188712522045900,2.5054945054945100
P18,66,F,MOT,Car,47,4.383,69,6.522,198,0.378788,37.67,427,0.330211,41.06,191,33,0.07954545454545450,0.47243867243867200,2.3333333333333300
P18,66,F,MOT,ComputerBox,40,4.3,37,5.73,168,0.446429,39.13,233,0.429185,47.03,158,40,0.052564102564102600,0.34000000000000000,2.0606060606060600
P18,66,F,MOT,Degu,51,3.941,65,5.892,230,0.417391,40.95,413,0.353511,48.69,208,52,0.0444947209653092,0.535485347985348,1.8666666666666700
P18,66,F,MOT,Robodog,41,4.122,41,5.463,163,0.441718,35.67,221,0.438914,32.27,147,191,0.013171672637090100,0.3700804140594720,3.7139263252470800
P18,66,F,MOT,Meerkat,58,3.948,84,5.226,243,0.395062,40.9,442,0.346154,58.58,223,52,0.033936651583710400,0.29706959706959700,2.7058823529411800
P18,66,F,MOT,Starfish,53,4.736,59,5.78,252,0.321429,22.98,354,0.358757,50.93,221,41,0.04024390243902440,0.2707317073170730,2.6416666666666700
P19,42,M,MOT,Car,57,2.807,116,4.638,149,0.436242,32.87,523,0.321224,58.27,144,31,0.043010752688172000,0.34301075268817200,1.619047619047620
P19,42,M,MOT,ComputerBox,38,3.395,63,5.968,130,0.4,22.64,361,0.32133,41.44,126,26,0.09538461538461540,0.5728021978021980,2.3529411764705900
P19,42,M,MOT,Degu,74,2.311,123,6.976,167,0.383234,24.83,803,0.237858,44.61,160,28,0.021164021164021200,0.11904761904761900,1.1666666666666700
P19,42,M,MOT,Robodog,63,2.698,82,5.402,192,0.447917,45.4,429,0.305361,44.09,183,140,0.015827338129496400,0.3469172932330830,3.4341527655838500
P19,42,M,MOT,Meerkat,75,2.413,122,5.926,183,0.338798,20.17,687,0.248908,38.86,173,30,0.05057471264367820,0.23666666666666700,1.7142857142857100
P19,42,M,MOT,Starfish,64,2.375,109,7.22,163,0.411043,20.83,743,0.242261,51.35,159,34,0.04634581105169340,0.4754901960784310,1.4
P20,42,M,MOT,Car,72,3.917,42,4.595,311,0.279743,34.19,203,0.448276,43.18,278,47,0.04902867715078630,0.39078014184397200,4.205645161290320
P20,42,M,MOT,ComputerBox,44,2.75,49,4.796,129,0.48062,32.32,240,0.4,35.49,118,37,0.03453453453453450,0.2972972972972970,1.0
P20,42,M,MOT,Degu,80,3.85,63,4.635,287,0.261324,22.81,297,0.333333,36.34,276,47,0.05272895467160040,0.47213779128672700,3.9800569800569800
P20,42,M,MOT,Robodog,83,3.133,23,5.043,260,0.3,21.46,112,0.4375,21.16,239,179,0.01657146444039920,0.3810465413653060,3.7742424242424200
P20,42,M,MOT,Meerkat,70,5.3,47,3.17,354,0.251412,33.35,147,0.44898,28.25,336,56,0.05064935064935070,0.3745067432567430,2.9384384384384400
P20,42,M,MOT,Starfish,81,3.148,74,4.743,267,0.314607,24.82,326,0.325153,40.43,235,47,0.04070305272895470,0.5118034447821680,2.2285714285714300
P21,66,M,MOT,Car,36,3.417,69,4.899,131,0.587786,72.43,329,0.37386,55.41,124,27,0.02849002849002850,0.1111111111111110,1.0
P21,66,M,MOT,ComputerBox,18,4.389,74,5.351,83,0.53012,25.74,395,0.301266,41.71,81,13,0.16666666666666700,0.6153846153846150,1.0
P21,66,M,MOT,Degu,50,4.8,94,6.5,253,0.407115,55.61,602,0.284053,49.55,240,46,0.04734299516908210,0.529296066252588,2.4696969696969700
P21,66,M,MOT,Robodog,15,4.2,23,7.13,63,0.571429,24.99,165,0.490909,42.46,57,131,0.016793893129771000,0.401985292061628,4.050931677018630
P21,66,M,MOT,Meerkat,48,3.958,92,5.63,198,0.464646,48.22,503,0.27833,42.3,184,43,0.03322259136212630,0.45348837209302300,1.3
P21,66,M,MOT,Starfish,34,4.735,89,6.393,146,0.465753,38.25,514,0.282101,48.49,136,32,0.05443548387096770,0.29791666666666700,2.0757575757575800
