ID,Age,Gender,Caregiver,Item,Utterances_C,MLU_C,Utterances_M,MLU_M,Token_C,TTR_C,VocD_C,Token_M,TTR_M,VocD_M,Turn,Nodes,Density,Clustering,Length
P32,42,M,MOT,Robodog,25,2.96,73,5.425,88,0.545455,31.68,401,0.326683,43.47,85,124,0.01927616050354050,0.36010508308895400,3.4172714078374500
P32,42,M,MOT,Meerkat,38,3.132,82,5.817,135,0.422222,25.32,465,0.311828,41.93,124,26,0.06461538461538460,0.3935897435897440,1.619047619047620
P32,42,M,MOT,Starfish,45,4.444,89,8.326,201,0.353234,31.52,723,0.235131,41.77,190,28,0.08465608465608470,0.3686507936507940,2.219047619047620
P33,42,M,MOT,Car,38,3.684,62,5.29,139,0.431655,24.66,322,0.409938,57.54,121,25,0.03,0.12,1.5
P33,42,M,MOT,ComputerBox,32,3.719,27,5.407,132,0.409091,27.85,151,0.523179,51.37,125,20,0.031578947368421100,0.0,1.3333333333333300
P33,42,M,MOT,Degu,42,4.5,84,7.345,190,0.457895,40.85,581,0.27883,39.88,176,46,0.05410628019323670,0.3359903381642510,1.309090909090910
P33,42,M,MOT,Robodog,30,2.467,39,5.282,79,0.632911,43.5,206,0.441748,38.7,73,127,0.018747656542932100,0.3206393459190810,3.482638888888890
P33,42,M,MOT,Meerkat,44,4.114,61,6.934,220,0.404545,42.78,389,0.336761,47.27,198,40,0.05,0.46958333333333300,2.608187134502920
P33,42,M,MOT,Starfish,40,4.4,85,7.129,188,0.388298,34.07,578,0.283737,46.41,167,32,0.07459677419354840,0.5244047619047620,2.6013071895424800
P34,42,M,MOT,Car,52,2.885,67,5,154,0.441558,35.82,337,0.373887,52.42,147,33,0.045454545454545500,0.3354978354978360,1.9111111111111100
P34,42,M,MOT,ComputerBox,38,3.816,72,5.611,143,0.412587,30.47,408,0.284314,38.21,136,26,0.052307692307692300,0.19230769230769200,1.8095238095238100
P34,42,M,MOT,Degu,62,3.065,91,5.835,195,0.389744,30.4,513,0.261209,36.34,184,40,0.028205128205128200,0.21666666666666700,1.7619047619047600
P34,42,M,MOT,Robodog,19,3.263,25,4.8,57,0.561404,22.84,113,0.424779,19.9,54,154,0.014684661743485300,0.33332724274282700,3.781094527363180
